sentiment,id,subject
neutral,240842237397843968,bobby-jindal
neutral,240842237397843968,bobby-jindal
neutral,240842237397843968,bobby-jindal
neutral,240842237397843968,bobby-jindal
positive,241384473101479936,obama
negative,241384473101479936,obama
neutral,241384473101479936,obama
neutral,241359139144601600,romney
negative,241359139144601600,romney
neutral,241359139144601600,romney
neutral,241927010325237760,red-cross
neutral,241927010325237760,red-cross
neutral,241927010325237760,red-cross
neutral,242287900690100224,rick-scott
neutral,242287900690100224,rick-scott
neutral,242287900690100224,rick-scott
neutral,242287900690100224,rick-scott
neutral,240545230342995968,romney
neutral,240545230342995968,romney
neutral,240545230342995968,romney
neutral,241761695880593408,bobby-jindal
neutral,241761695880593408,bobby-jindal
neutral,241761695880593408,bobby-jindal
neutral,240893756260368384,red-cross
neutral,240893756260368384,red-cross
neutral,240893756260368384,red-cross
neutral,240754144636452865,red-cross
neutral,240754144636452865,red-cross
neutral,240754144636452865,red-cross
neutral,240762340176437248,romney
positive,240762340176437248,romney
neutral,240762340176437248,romney
neutral,240975498866462720,red-cross
neutral,240975498866462720,red-cross
neutral,240975498866462720,red-cross
neutral,240975498866462720,red-cross
neutral,240590852018294784,obama
neutral,240590852018294784,obama
neutral,240590852018294784,obama
neutral,240816887263539200,red-cross
neutral,240816887263539200,red-cross
neutral,240816887263539200,red-cross
neutral,240816887263539200,red-cross
neutral,240924923915272192,red-cross
negative,240924923915272192,red-cross
neutral,240924923915272192,red-cross
neutral,240400199632171009,obama
neutral,240400199632171009,obama
neutral,240400199632171009,obama
neutral,241865719149629440,romney
neutral,241865719149629440,romney
neutral,241865719149629440,romney
neutral,241865719149629440,romney
neutral,240483666248212481,obama
neutral,240483666248212481,obama
neutral,240483666248212481,obama
neutral,240540730148392960,obama
neutral,240540730148392960,obama
neutral,240540730148392960,obama
neutral,240543649140711424,national-guard
neutral,240543649140711424,national-guard
neutral,240543649140711424,national-guard
neutral,243064551879360512,national-guard
neutral,243064551879360512,national-guard
neutral,243064551879360512,national-guard
neutral,240852752710918144,bobby-jindal
neutral,240852752710918144,bobby-jindal
neutral,240852752710918144,bobby-jindal
neutral,240435633330466817,obama
neutral,240435633330466817,obama
neutral,240435633330466817,obama
neutral,240435633330466817,obama
neutral,243554165333315584,rick-scott
neutral,243554165333315584,rick-scott
neutral,243554165333315584,rick-scott
neutral,241699418997407744,bobby-jindal
neutral,241699418997407744,bobby-jindal
neutral,241699418997407744,bobby-jindal
neutral,240513785608167424,obama
neutral,240513785608167424,obama
neutral,240513785608167424,obama
neutral,240911472715243521,obama
neutral,240911472715243521,obama
neutral,240911472715243521,obama
